,nome_pokemon,num_pokedex,tipos,HP,atk,Def,sp_atk,sp_def,Speed,total
217,Slugma,#0218,Fire,40,40,40,70,40,20,250
218,Magcargo,#0219,"Fire, Rock",60,50,120,90,80,30,430
219,Swinub,#0220,"Ice, Ground",50,50,40,30,30,50,250
220,Piloswine,#0221,"Ice, Ground",100,100,80,60,60,50,450
221,Corsola,#0222,"Water, Rock",65,55,95,65,95,35,410
222,Remoraid,#0223,Water,35,65,35,65,35,65,300
223,Octillery,#0224,Water,75,105,75,105,75,45,480
224,Delibird,#0225,"Ice, Flying",45,55,45,65,45,75,330
225,Mantine,#0226,"Water, Flying",85,40,70,80,140,70,485
226,Skarmory,#0227,"Steel, Flying",65,80,140,40,70,70,465
227,Houndour,#0228,"Dark, Fire",45,60,30,80,50,65,330
228,Houndoom,#0229,"Dark, Fire",75,90,50,110,80,95,500
229,Kingdra,#0230,"Water, Dragon",75,95,95,95,95,85,540
230,Phanpy,#0231,Ground,90,60,60,40,40,40,330
231,Donphan,#0232,Ground,90,120,120,60,60,50,500
232,Porygon2,#0233,Normal,85,80,90,105,95,60,515
233,Stantler,#0234,Normal,73,95,62,85,65,85,465
234,Smeargle,#0235,Normal,55,20,35,20,45,75,250
235,Tyrogue,#0236,Fighting,35,35,35,35,35,35,210
236,Hitmontop,#0237,Fighting,50,95,95,35,110,70,455
237,Smoochum,#0238,"Ice, Psychic",45,30,15,85,65,65,305
238,Elekid,#0239,Electric,45,63,37,65,55,95,360
239,Magby,#0240,Fire,45,75,37,70,55,83,365
240,Miltank,#0241,Normal,95,80,105,40,70,100,490
241,Blissey,#0242,Normal,255,10,10,75,135,55,540
242,Raikou,#0243,Electric,90,85,75,115,100,115,580
243,Entei,#0244,Fire,115,115,85,90,75,100,580
244,Suicune,#0245,Water,100,75,115,90,115,85,580
245,Larvitar,#0246,"Rock, Ground",50,64,50,45,50,41,300
246,Pupitar,#0247,"Rock, Ground",70,84,70,65,70,51,410
247,Tyranitar,#0248,"Rock, Dark",100,134,110,95,100,61,600
248,Lugia,#0249,"Psychic, Flying",106,90,130,90,154,110,680
249,Ho-oh,#0250,"Fire, Flying",106,130,90,110,154,90,680
250,Celebi,#0251,"Psychic, Grass",100,100,100,100,100,100,600
251,Treecko,#0252,Grass,40,45,35,65,55,70,310
252,Grovyle,#0253,Grass,50,65,45,85,65,95,405
253,Sceptile,#0254,Grass,70,85,65,105,85,120,530
254,Torchic,#0255,Fire,45,60,40,70,50,45,310
255,Combusken,#0256,"Fire, Fighting",60,85,60,85,60,55,405
256,Blaziken,#0257,"Fire, Fighting",80,120,70,110,70,80,530
257,Mudkip,#0258,Water,50,70,50,50,50,40,310
258,Marshtomp,#0259,"Water, Ground",70,85,70,60,70,50,405
259,Swampert,#0260,"Water, Ground",100,110,90,85,90,60,535
260,Poochyena,#0261,Dark,35,55,35,30,30,35,220
261,Mightyena,#0262,Dark,70,90,70,60,60,70,420
262,Zigzagoon,#0263,Normal,38,30,41,30,41,60,240
263,Linoone,#0264,Normal,78,70,61,50,61,100,420
264,Wurmple,#0265,Bug,45,45,35,20,30,20,195
265,Silcoon,#0266,Bug,50,35,55,25,25,15,205
266,Beautifly,#0267,"Bug, Flying",60,70,50,100,50,65,395
267,Cascoon,#0268,Bug,50,35,55,25,25,15,205
268,Dustox,#0269,"Bug, Poison",60,50,70,50,90,65,385
269,Lotad,#0270,"Water, Grass",40,30,30,40,50,30,220
270,Lombre,#0271,"Water, Grass",60,50,50,60,70,50,340
271,Ludicolo,#0272,"Water, Grass",80,70,70,90,100,70,480
272,Seedot,#0273,Grass,40,40,50,30,30,30,220
273,Nuzleaf,#0274,"Grass, Dark",70,70,40,60,40,60,340
274,Shiftry,#0275,"Grass, Dark",90,100,60,90,60,80,480
275,Taillow,#0276,"Normal, Flying",40,55,30,30,30,85,270
276,Swellow,#0277,"Normal, Flying",60,85,60,75,50,125,455
277,Wingull,#0278,"Water, Flying",40,30,30,55,30,85,270
278,Pelipper,#0279,"Water, Flying",60,50,100,95,70,65,440
279,Ralts,#0280,"Psychic, Fairy",28,25,25,45,35,40,198
280,Kirlia,#0281,"Psychic, Fairy",38,35,35,65,55,50,278
281,Gardevoir,#0282,"Psychic, Fairy",68,65,65,125,115,80,518
282,Surskit,#0283,"Bug, Water",40,30,32,50,52,65,269
283,Masquerain,#0284,"Bug, Flying",70,60,62,100,82,80,454
284,Shroomish,#0285,Grass,60,40,60,40,60,35,295
285,Breloom,#0286,"Grass, Fighting",60,130,80,60,60,70,460
286,Slakoth,#0287,Normal,60,60,60,35,35,30,280
287,Vigoroth,#0288,Normal,80,80,80,55,55,90,440
288,Slaking,#0289,Normal,150,160,100,95,65,100,670
289,Nincada,#0290,"Bug, Ground",31,45,90,30,30,40,266
290,Ninjask,#0291,"Bug, Flying",61,90,45,50,50,160,456
291,Shedinja,#0292,"Bug, Ghost",1,90,45,30,30,40,236
292,Whismur,#0293,Normal,64,51,23,51,23,28,240
293,Loudred,#0294,Normal,84,71,43,71,43,48,360
294,Exploud,#0295,Normal,104,91,63,91,73,68,490
295,Makuhita,#0296,Fighting,72,60,30,20,30,25,237
296,Hariyama,#0297,Fighting,144,120,60,40,60,50,474
297,Azurill,#0298,"Normal, Fairy",50,20,40,20,40,20,190
298,Nosepass,#0299,Rock,30,45,135,45,90,30,375
299,Skitty,#0300,Normal,50,45,45,35,35,50,260
300,Delcatty,#0301,Normal,70,65,65,55,55,90,400
301,Sableye,#0302,"Dark, Ghost",50,75,75,65,65,50,380
302,Mawile,#0303,"Steel, Fairy",50,85,85,55,55,50,380
303,Aron,#0304,"Steel, Rock",50,70,100,40,40,30,330
304,Lairon,#0305,"Steel, Rock",60,90,140,50,50,40,430
305,Aggron,#0306,"Steel, Rock",70,110,180,60,60,50,530
306,Meditite,#0307,"Fighting, Psychic",30,40,55,40,55,60,280
307,Medicham,#0308,"Fighting, Psychic",60,60,75,60,75,80,410
308,Electrike,#0309,Electric,40,45,40,65,40,65,295
309,Manectric,#0310,Electric,70,75,60,105,60,105,475
310,Plusle,#0311,Electric,60,50,40,85,75,95,405
311,Minun,#0312,Electric,60,40,50,75,85,95,405
312,Volbeat,#0313,Bug,65,73,75,47,85,85,430
313,Illumise,#0314,Bug,65,47,75,73,85,85,430
314,Roselia,#0315,"Grass, Poison",50,60,45,100,80,65,400
315,Gulpin,#0316,Poison,70,43,53,43,53,40,302
316,Swalot,#0317,Poison,100,73,83,73,83,55,467
317,Carvanha,#0318,"Water, Dark",45,90,20,65,20,65,305
318,Sharpedo,#0319,"Water, Dark",70,120,40,95,40,95,460
319,Wailmer,#0320,Water,130,70,35,70,35,60,400
320,Wailord,#0321,Water,170,90,45,90,45,60,500
321,Numel,#0322,"Fire, Ground",60,60,40,65,45,35,305
322,Camerupt,#0323,"Fire, Ground",70,100,70,105,75,40,460
323,Torkoal,#0324,Fire,70,85,140,85,70,20,470
324,Spoink,#0325,Psychic,60,25,35,70,80,60,330
325,Grumpig,#0326,Psychic,80,45,65,90,110,80,470
326,Spinda,#0327,Normal,60,60,60,60,60,60,360
327,Trapinch,#0328,Ground,45,100,45,45,45,10,290
328,Vibrava,#0329,"Ground, Dragon",50,70,50,50,50,70,340
329,Flygon,#0330,"Ground, Dragon",80,100,80,80,80,100,520
330,Cacnea,#0331,Grass,50,85,40,85,40,35,335
331,Cacturne,#0332,"Grass, Dark",70,115,60,115,60,55,475
332,Swablu,#0333,"Normal, Flying",45,40,60,40,75,50,310
333,Altaria,#0334,"Dragon, Flying",75,70,90,70,105,80,490
334,Zangoose,#0335,Normal,73,115,60,60,60,90,458
335,Seviper,#0336,Poison,73,100,60,100,60,65,458
336,Lunatone,#0337,"Rock, Psychic",90,55,65,95,85,70,460
337,Solrock,#0338,"Rock, Psychic",90,95,85,55,65,70,460
338,Barboach,#0339,"Water, Ground",50,48,43,46,41,60,288
339,Whiscash,#0340,"Water, Ground",110,78,73,76,71,60,468
340,Corphish,#0341,Water,43,80,65,50,35,35,308
341,Crawdaunt,#0342,"Water, Dark",63,120,85,90,55,55,468
342,Baltoy,#0343,"Ground, Psychic",40,40,55,40,70,55,300
343,Claydol,#0344,"Ground, Psychic",60,70,105,70,120,75,500
344,Lileep,#0345,"Rock, Grass",66,41,77,61,87,23,355
345,Cradily,#0346,"Rock, Grass",86,81,97,81,107,43,495
346,Anorith,#0347,"Rock, Bug",45,95,50,40,50,75,355
347,Armaldo,#0348,"Rock, Bug",75,125,100,70,80,45,495
348,Feebas,#0349,Water,20,15,20,10,55,80,200
349,Milotic,#0350,Water,95,60,79,100,125,81,540
350,Castform,#0351,Normal,70,70,70,70,70,70,420
351,Kecleon,#0352,Normal,60,90,70,60,120,40,440
352,Shuppet,#0353,Ghost,44,75,35,63,33,45,295
353,Banette,#0354,Ghost,64,115,65,83,63,65,455
354,Duskull,#0355,Ghost,20,40,90,30,90,25,295
355,Dusclops,#0356,Ghost,40,70,130,60,130,25,455
356,Tropius,#0357,"Grass, Flying",99,68,83,72,87,51,460
357,Chimecho,#0358,Psychic,75,50,80,95,90,65,455
358,Absol,#0359,Dark,65,130,60,75,60,75,465
359,Wynaut,#0360,Psychic,95,23,48,23,48,23,260
360,Snorunt,#0361,Ice,50,50,50,50,50,50,300
361,Glalie,#0362,Ice,80,80,80,80,80,80,480
362,Spheal,#0363,"Ice, Water",70,40,50,55,50,25,290
363,Sealeo,#0364,"Ice, Water",90,60,70,75,70,45,410
364,Walrein,#0365,"Ice, Water",110,80,90,95,90,65,530
365,Clamperl,#0366,Water,35,64,85,74,55,32,345
366,Huntail,#0367,Water,55,104,105,94,75,52,485
367,Gorebyss,#0368,Water,55,84,105,114,75,52,485
368,Relicanth,#0369,"Water, Rock",100,90,130,45,65,55,485
369,Luvdisc,#0370,Water,43,30,55,40,65,97,330
370,Bagon,#0371,Dragon,45,75,60,40,30,50,300
371,Shelgon,#0372,Dragon,65,95,100,60,50,50,420
372,Salamence,#0373,"Dragon, Flying",95,135,80,110,80,100,600
373,Beldum,#0374,"Steel, Psychic",40,55,80,35,60,30,300
374,Metang,#0375,"Steel, Psychic",60,75,100,55,80,50,420
375,Metagross,#0376,"Steel, Psychic",80,135,130,95,90,70,600
376,Regirock,#0377,Rock,80,100,200,50,100,50,580
377,Regice,#0378,Ice,80,50,100,100,200,50,580
378,Registeel,#0379,Steel,80,75,150,75,150,50,580
379,Latias,#0380,"Dragon, Psychic",80,80,90,110,130,110,600
380,Latios,#0381,"Dragon, Psychic",80,90,80,130,110,110,600
381,Kyogre,#0382,Water,100,100,90,150,140,90,670
382,Groudon,#0383,Ground,100,150,140,100,90,90,670
383,Rayquaza,#0384,"Dragon, Flying",105,150,90,150,90,95,680
384,Jirachi,#0385,"Steel, Psychic",100,100,100,100,100,100,600
385,Deoxys,#0386,Psychic,50,150,50,150,50,150,600
386,Turtwig,#0387,Grass,55,68,64,45,55,31,318
387,Grotle,#0388,Grass,75,89,85,55,65,36,405
388,Torterra,#0389,"Grass, Ground",95,109,105,75,85,56,525
389,Chimchar,#0390,Fire,44,58,44,58,44,61,309
390,Monferno,#0391,"Fire, Fighting",64,78,52,78,52,81,405
391,Infernape,#0392,"Fire, Fighting",76,104,71,104,71,108,534
392,Piplup,#0393,Water,53,51,53,61,56,40,314
393,Prinplup,#0394,Water,64,66,68,81,76,50,405
394,Empoleon,#0395,"Water, Steel",84,86,88,111,101,60,530
395,Starly,#0396,"Normal, Flying",40,55,30,30,30,60,245
396,Staravia,#0397,"Normal, Flying",55,75,50,40,40,80,340
397,Staraptor,#0398,"Normal, Flying",85,120,70,50,60,100,485
398,Bidoof,#0399,Normal,59,45,40,35,40,31,250
399,Bibarel,#0400,"Normal, Water",79,85,60,55,60,71,410
400,Kricketot,#0401,Bug,37,25,41,25,41,25,194
401,Kricketune,#0402,Bug,77,85,51,55,51,65,384
402,Shinx,#0403,Electric,45,65,34,40,34,45,263
403,Luxio,#0404,Electric,60,85,49,60,49,60,363
404,Luxray,#0405,Electric,80,120,79,95,79,70,523
405,Budew,#0406,"Grass, Poison",40,30,35,50,70,55,280
406,Roserade,#0407,"Grass, Poison",60,70,65,125,105,90,515
407,Cranidos,#0408,Rock,67,125,40,30,30,58,350
408,Rampardos,#0409,Rock,97,165,60,65,50,58,495
409,Shieldon,#0410,"Rock, Steel",30,42,118,42,88,30,350
410,Bastiodon,#0411,"Rock, Steel",60,52,168,47,138,30,495
411,Burmy,#0412,Bug,40,29,45,29,45,36,224
412,Wormadam,#0413,"Bug, Grass",60,59,85,79,105,36,424
413,Mothim,#0414,"Bug, Flying",70,94,50,94,50,66,424
414,Combee,#0415,"Bug, Flying",30,30,42,30,42,70,244
415,Vespiquen,#0416,"Bug, Flying",70,80,102,80,102,40,474
416,Pachirisu,#0417,Electric,60,45,70,45,90,95,405
417,Buizel,#0418,Water,55,65,35,60,30,85,330
418,Floatzel,#0419,Water,85,105,55,85,50,115,495
419,Cherubi,#0420,Grass,45,35,45,62,53,35,275
420,Cherrim,#0421,Grass,70,60,70,87,78,85,450
421,Shellos,#0422,Water,76,48,48,57,62,34,325
422,Gastrodon,#0423,"Water, Ground",111,83,68,92,82,39,475
423,Ambipom,#0424,Normal,75,100,66,60,66,115,482
424,Drifloon,#0425,"Ghost, Flying",90,50,34,60,44,70,348
425,Drifblim,#0426,"Ghost, Flying",150,80,44,90,54,80,498
426,Buneary,#0427,Normal,55,66,44,44,56,85,350
427,Lopunny,#0428,Normal,65,76,84,54,96,105,480
428,Mismagius,#0429,Ghost,60,60,60,105,105,105,495
429,Honchkrow,#0430,"Dark, Flying",100,125,52,105,52,71,505
430,Glameow,#0431,Normal,49,55,42,42,37,85,310
431,Purugly,#0432,Normal,71,82,64,64,59,112,452
432,Chingling,#0433,Psychic,45,30,50,65,50,45,285
433,Stunky,#0434,"Poison, Dark",63,63,47,41,41,74,329
